userId,firstName,lastName,email,langKey,externalId
1a9da800-1a31-11e9-a5b2-005056ac3cda,staging-pav-test3@yopmail.com,staging-pav-test3@yopmail.com,staging-pav-test3@yopmail.com,de,CHA1004281
3d0808cc-0f69-11e9-8299-005056ac3cda,Jobi,Test,jobi_test@gmx.ch,de,CHA1004248
80678e26-1273-11e9-be13-005056ac3cda,Ingo,Kreutzer,ingo.kreutzer@seco.admin.ch,de,450867
511fa6e7-1a52-11e9-9558-005056ac3cda,Company-01,Just,jobroom-just.company-01@yopmail.com,de,CHA1004286
edd0fb77-157a-11e9-ade7-005056ac3cda,staging-pav-fago2,staging-pav-fago1,staging-pav-fago@yopmail.com,de,CHA1003670
4957be6a-1991-11e9-998e-005056ac3cda,Stes1111,Stes1111,stes1111@yopmail.com,de,CHA1004275
d9c82783-1b1f-11e9-90be-005056ac3cda,Stes2,Stes2,staging-nszn-stes2@yopmail.com,de,CHA1004289
107f588a-1a39-11e9-a5b2-005056ac3cda,Jobseeker-01,Just,jobroom-just.jobseeker-01@yopmail.com,de,CHA1004284
efab7fad-15ad-11e9-ade7-005056ac3cda,Portal777,Portal777,portal777@yopmail.com,de,CHA1004261
a1586e81-1b0e-11e9-90be-005056ac3cda,staging-nszn-stes,staging-nszn-stes,staging-nszn-stes@yopmail.com,de,CHA1004288
2d06db52-73bc-11e8-b515-005056ac3cda,Tester-01,Test,staging-jobroom-test01@yopmail.com,de,CHA1003412
041f25a2-7491-11e8-81c8-005056ac3cda,Tester-04,test,staging-jobroom-test04@yopmail.com,de,CHA1003425
ee4765b9-345d-11e9-8e6e-005056ac3cda,Der Arbeit EN,Vermittler,arbeitsvermittler_22@yopmail.com,de,CHA1004413
da9d0d6e-ffb1-11e8-95b6-005056ac3cda,Tester,Tester,pado-staing-stes-044@yopmail.com,de,CHA1004228
739710d7-3b3b-11e9-93fb-005056ac3cda,AG Test,AG Test,20190228_ag@yopmail.com,de,CHA1004447
25a2cc9f-3507-11e9-9fec-005056ac3cda,Stes,YOP,stes99@yopmail.com,de,CHA1004417
877be76d-3446-11e9-8e6e-005056ac3cda,Franco,Lazzara,seco_flaz@yopmail.com,de,CHA1004411
48c9ce2a-1a33-11e9-a5b2-005056ac3cda,staging-pav-test5@yopmail.com,staging-pav-test5@yopmail.com,staging-pav-test5@yopmail.com,de,CHA1004283
253c6541-1296-11e9-be13-005056ac3cda,Emina,Stricak,emina-staging-ag-001@yopmail.com,de,CHA1004251
59a01985-19aa-11e9-bbfb-005056ac3cda,tester,tester,staging-nszn-company@yopmail.com,de,CHA1004278
62dc141e-351b-11e9-9fec-005056ac3cda,Nicks,Stevie,ving-staging-stes-1@yopmail.com,de,CHA1004422
448d5194-3518-11e9-9fec-005056ac3cda,Vinh,Nguyen,ving-staging-company-1@yopmail.com,de,CHA1004420
75891d96-3939-11e9-93fb-005056ac3cda,STES,STES,stes_8888@yopmail.com,de,CHA1004437
12da77c1-351a-11e9-9fec-005056ac3cda,John,Legend,ving-staging-pav-1@yopmail.com,de,CHA1004421
f3f7f484-3506-11e9-9fec-005056ac3cda,F,Fanki,fankif@yopmail.com,de,CHA1004418
a6d32cfa-1efc-11e9-bde3-005056ac3cda,User,Test,stagingportal_company@yopmail.com,de,CHA1004296
6cdba5a9-1a3a-11e9-9558-005056ac3cda,Pav-01,Just,jobroom-just.pav-01@yopmail.com,de,CHA1004285
d7656bf5-3a7a-11e9-93fb-005056ac3cda,Tester,Tester,pado-staging-stes-002@yopmail.com,de,CHA1004440
